Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,4,4,4100.0,4084.921324989409,4047.5167999975383,4161.93000000203,0.0,0.2516518178456086,0.2516518178456086,4100,4100,4200,4200,4200,4200,4200,4200,4200,4200,4200
POST,/chat,4,4,4068.0216000182554,4060.333775007166,4055.312699987553,4068.0216000182554,0.0,0.2516518178456086,0.2516518178456086,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
GET,/health,2,2,4049.366499995813,4053.438050003024,4049.366499995813,4057.509600010235,0.0,0.1258259089228043,0.1258259089228043,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
,Aggregated,10,10,4100.0,4068.789649999235,4047.5167999975383,4161.93000000203,0.0,0.6291295446140215,0.6291295446140215,4100,4100,4100,4100,4200,4200,4200,4200,4200,4200,4200
